_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.tangramURLs,data.roleList,data.name,data.avatar,data.nameColor,data.bonus,data.role,data.clicked,data.timeClick,data.exitTimeoutId,data.exited
rvbZsSNT4AY98S5tK,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:37Z,,,,,,,,,,,
PeYbkoDBYGhvWZviu,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:38Z,,,,,,,,,,,
zpnssrHmLfaPtoHoN,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:39Z,,,,,,,,,,,
esisWx4DZyRJ3HFs5,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:39Z,,,,,,,,,,,
YhmEYae6JR9ayPCTs,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:43Z,,,,,,,,,,,
AdAkpEsEDNvQLkEB5,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:45Z,,,,,,,,,,,
CPmEiiaC2T5NoxQNz,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:45Z,,,,,,,,,,,
8QCmn8sAdwEBLouEe,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:46Z,,,,,,,,,,,
mJcxdkvrSsBx2HGuY,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:47Z,,,,,,,,,,,
3kLsKQEFz65Weuf3M,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:53Z,,,,,,,,,,,
4JtgbFR4oBMmQH8G5,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:56Z,,,,,,,,,,,
FSHbLC9QTs5xAodS8,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:01Z,,,,,,,,,,,
N7HwLAKfDPJXbtA5y,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:03Z,,,,,,,,,,,
hNYtkX6Sc5jxBsXWf,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:08Z,,,,,,,,,,,
anaLBSAY89Q82x4QG,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:08Z,,,,,,,,,,,
ZnBmBYbbatEytdMto,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:15Z,,,,,,,,,,,
xXZnzSZgbTaryfGri,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:16Z,,,,,,,,,,,
w8czo9RQwCuscffx6,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:26Z,,,,,,,,,,,
ics6hPCqzuLabJXLq,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:26Z,,,,,,,,,,,
YfShvNDw4KghpbfmP,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:12:31Z,,,,,,,,,,,
